app_name,joint_lifespan,expected_revenue,apple_price,play_price,apple_genre,play_genre,apple_purchase_price,play_purchase_price,,,,
Bejeweled Blitz,18,1080000,0,0,Games,Puzzle,10000,10000,,,,
Boomerang from Instagram,18,1080000,0,0,Photo & Video,Photography,10000,10000,,,,
Cartoon Wars 3,18,1080000,0,0,Games,Role Playing,10000,10000,,,,
Chick-fil-A,18,1080000,0,0,Food & Drink,Food & Drink,10000,10000,,,,
diep.io,18,1080000,0,0,Games,Action,10000,10000,,,,
Does not Commute,18,1080000,0,0,Games,Racing,10000,10000,,,,
DRAGON BALL Z DOKKAN BATTLE,18,1080000,0,0,Games,Action,10000,10000,,,,
Driving Zone,18,1080000,0,0,Games,Racing,10000,10000,,,,
Dropbox,18,1080000,0,0,Productivity,Productivity,10000,10000,,,,
Dumb Ways to Die 2: The Games,18,1080000,0,0,Games,Casual,10000,10000,,,,
Fitbit,18,1080000,0,0,Health & Fitness,Health & Fitness,10000,10000,,,,
Get 'Em,18,1080000,0.99,0,Games,Action,10000,10000,,,,
Google Classroom,18,1080000,0,0,Education,Education,10000,10000,,,,
Google Earth,18,1080000,0,0,Travel,Travel & Local,10000,10000,,,,
Google Slides,18,1080000,0,0,Productivity,Productivity,10000,10000,,,,
Google Street View,18,1080000,0,0,Travel,Travel & Local,10000,10000,,,,
Google Translate,18,1080000,0,0,Reference,Tools,10000,10000,,,,
Hangouts,18,1080000,0,0,Social Networking,Communication,10000,10000,,,,
iFunny :),18,1080000,0,0,Entertainment,Entertainment,10000,10000,,,,
Infinite Painter,18,1080000,0,0,Productivity,Art & Design,10000,10000,,,,
Ingress,18,1080000,0,0,Games,Adventure,10000,10000,,,,
King of Avalon: Dragon Warfare,18,1080000,0,0,Games,Strategy,10000,10000,,,,
LEGO® Juniors Create & Cruise,18,1080000,0,0,Games,Educational;Action & Adventure,10000,10000,,,,
MARVEL Avengers Academy,18,1080000,0,0,Games,Adventure,10000,10000,,,,
My Little Pony: Harmony Quest,18,1080000,0,0,Entertainment,Casual;Action & Adventure,10000,10000,,,,
NASCAR MOBILE,18,1080000,0,0,Sports,Sports,10000,10000,,,,
NBA,18,1080000,0,0,Sports,Sports,10000,10000,,,,
Netflix,18,1080000,0,0,Entertainment,Entertainment,10000,10000,,,,
Peggle Blast,18,1080000,0,0,Games,Card,10000,10000,,,,
Premier League - Official App,18,1080000,0,0,Sports,Sports,10000,10000,,,,
RISK: Global Domination,18,1080000,0,0,Games,Board;Action & Adventure,10000,10000,,,,
slither.io,18,1080000,0,0,Games,Action,10000,10000,,,,
Speedtest by Ookla,18,1080000,0,0,Utilities,Tools,10000,10000,,,,
STARZ,18,1080000,0,0,Entertainment,Entertainment,10000,10000,,,,
TED,18,1080000,0,0,Education,Education,10000,10000,,,,
Tom's Love Letters,18,1080000,0,0,Entertainment,Entertainment,10000,10000,,,,
Tom Loves Angela,18,1080000,0.99,0,Entertainment,Entertainment,10000,10000,,,,
Twitter,18,1080000,0,0,News,News & Magazines,10000,10000,,,,
UNO ™ & Friends,18,1080000,0,0,Games,Card,10000,10000,,,,
VSCO,18,1080000,0,0,Photo & Video,Photography,10000,10000,,,,
WatchESPN,18,1080000,0,0,Sports,Sports,10000,10000,,,,
Citi Mobile®,17,1020000,0,0,Finance,Finance,10000,10000,,,,
DB Navigator,17,1020000,0,0,Travel,Maps & Navigation,10000,10000,,,,
DIRECTV,17,1020000,0,0,Entertainment,Entertainment,10000,10000,,,,
Edmodo,17,1020000,0,0,Education,Education,10000,10000,,,,
Facebook,17,1020000,0,0,Social Networking,Social,10000,10000,,,,
Geocaching®,17,1020000,0,0,Navigation,Health & Fitness,10000,10000,,,,
Just Dance Now,17,1020000,0,0,Games,Music,10000,10000,,,,
Kids A-Z,17,1020000,0,0,Education,Education;Education,10000,10000,,,,
