"app_name","avg_lifespan","expected_revenue","marketing_costs","apple_price","play_price","apple_genre","play_genre","a_review_count","apple_content_rating","apple_purchase_price","play_purchase_price"
"Bejeweled Classic",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Casual","183259","4+",10000.00,10000.00
"Bible",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Reference","Books & Reference","985920","4+",10000.00,10000.00
"Bloons TD 5",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,2.99,"2.99","Games","Strategy","42078","9+",29900.00,29900.00
"Boom Beach",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Strategy","241929","9+",10000.00,10000.00
"Bullet Force",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Action","9289","17+",10000.00,10000.00
"Call of Duty®: Heroes",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Action","179416","12+",10000.00,10000.00
"Candy Crush Saga",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Casual","961794","4+",10000.00,10000.00
"Candy Crush Soda Saga",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Casual","133394","4+",10000.00,10000.00
"Chase Mobile",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Finance","Finance","34322","4+",10000.00,10000.00
"Choices: Stories You Play",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Simulation","33698","12+",10000.00,10000.00
"Clash of Clans",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Strategy","2130805","9+",10000.00,10000.00
"Clash Royale",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Strategy","266921","9+",10000.00,10000.00
"ClassDojo",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Education","Education;Education","35440","4+",10000.00,10000.00
"Cooking Fever",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Arcade","107797","4+",10000.00,10000.00
"Design Home",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Simulation","23298","4+",10000.00,10000.00
"Discord - Chat for Gamers",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Social Networking","Communication","9152","4+",10000.00,10000.00
"Disney Crossy Road",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Arcade;Action & Adventure","38571","4+",10000.00,10000.00
"Doodle Jump",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.99,"0","Games","Arcade","395261","4+",10000.00,10000.00
