"app_name","avg_lifespan","expected_revenue","marketing_costs","apple_price","play_price","apple_genre","play_genre","a_review_count","apple_content_rating","apple_price-2","play_price-2"
"Swamp Attack",10.0,600000.0,120000.0,0.0,"0","Games","Action","16968","17+",10000.0,10000.0
"Talking Tom Bubble Shooter",10.0,600000.0,120000.0,0.0,"0","Games","Casual","2659","4+",10000.0,10000.0
"Temple Run",10.0,600000.0,120000.0,0.0,"0","Games","Arcade","1724546","9+",10000.0,10000.0
"Temple Run 2",10.0,600000.0,120000.0,0.0,"0","Games","Action","295211","9+",10000.0,10000.0
"The CW",10.0,600000.0,120000.0,0.0,"0","Entertainment","Entertainment","97368","12+",10000.0,10000.0
"The Game of Life",10.0,600000.0,120000.0,2.99,"2.99","Games","Board","2298","4+",29900.0,29900.0
"The Sims™ FreePlay",10.0,600000.0,120000.0,0.0,"0","Games","Simulation","446880","12+",10000.0,10000.0
"The Washington Post Classic",10.0,600000.0,120000.0,0.0,"0","News","News & Magazines","18572","12+",10000.0,10000.0
"Threema",10.0,600000.0,120000.0,2.99,"2.99","Social Networking","Communication","196","4+",29900.0,29900.0
"Toca Kitchen 2",10.0,600000.0,120000.0,2.99,"0","Education","Educational;Pretend Play","1858","4+",29900.0,10000.0
"Toca Life: City",10.0,600000.0,120000.0,2.99,"3.99","Education","Education;Pretend Play","3571","4+",29900.0,39900.0
"Township",10.0,600000.0,120000.0,0.0,"0","Games","Casual","80801","4+",10000.0,10000.0
"Toy Blast",10.0,600000.0,120000.0,0.0,"0","Games","Puzzle","75822","4+",10000.0,10000.0
"Traffic Racer",10.0,600000.0,120000.0,0.0,"0","Games","Racing","22458","4+",10000.0,10000.0
"Trello",10.0,600000.0,120000.0,0.0,"0","Productivity","Productivity","2793","4+",10000.0,10000.0
"Trivia Crack",10.0,600000.0,120000.0,0.0,"0","Games","Trivia","393469","4+",10000.0,10000.0
"Tsuro - The Game of the Path",10.0,600000.0,120000.0,2.99,"2.99","Games","Board;Brain Games","539","4+",29900.0,29900.0
